事件,事件编码,事件等级,事件名称,版本号,事件类型,埋点触发时机,上报端,应用场景,是否落G库,通用/定制,事件备注,序号,字段,字段分类,字段名称,是否必传,是否为枚举,字段类型,字段说明,,,,,,,,,,,,
,,,,,,,,,,,,25,order_source_value,扩展,充值来源参数,否,是,dimension,充值来源参数新增枚举：活动充值的话，对应的参数为活动id，由策划定义,,,,,,,,,,,,
,,,,,,,,,,,,26,platform,扩展,游戏运行平台,否,是,dimension,来源CP-SDK，运行平台，如抖音小游戏、微信小游戏等,,,,,,,,,,,,
,,,,,,,,,,,,27,device_name,扩展,设备名称,否,是,string,来源CP-SDK，手机操作系统，如IOS、安卓,,,,,,,,,,,,
,,,,,,,,,,,,28,device_os,扩展,操作系统,否,是,dimension,来源CP-SDK，设备名称，如iPhone14 Pro等,,,,,,,,,,,,
背包刷新日志,100401,w,backpack_item_refresh,1,角色事件,"玩家在触发各种类型的背包刷新时记录：
1、自动刷新
2、免费刷新
3、广告刷新
4、道具刷新
5、铜币刷新",客户端,局内精细化分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,cpsdk账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_type,扩展,场景类型,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,package_refresh_type,扩展,背包刷新类型,是,是,dimension,来源游戏，枚举值【1=自动刷新，2=免费刷新，3=广告刷新，4=道具刷新，5=铜币刷新】,,,,,,,,,,,,
,,,,,,,,,,,,17,refresh_get1_type,扩展,刷新获得道具1的大类,是,是,dimension,来源游戏，刷新获得道具1的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,18,get_item1_id,扩展,刷到的道具1的ID,是,是,dimension,来源游戏，刷新获得道具1的ID,,,,,,,,,,,,
,,,,,,,,,,,,19,refresh_get2_type,扩展,刷新获得道具2的大类,是,是,dimension,来源游戏，刷新获得道具2的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,20,get_item2_id,扩展,刷到的道具2的ID,是,是,dimension,来源游戏，刷新获得道具2的ID,,,,,,,,,,,,
,,,,,,,,,,,,21,refresh_get3_type,扩展,刷新获得道具3的大类,是,是,dimension,来源游戏，刷新获得道具3的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,22,get_item3_id,扩展,刷到的道具3的ID,是,是,dimension,来源游戏，刷新获得道具3的ID,,,,,,,,,,,,
,,,,,,,,,,,,23,refresh_get4_type,扩展,刷新获得道具4的大类,是,是,dimension,来源游戏，刷新获得道具4的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,24,get_item4_id,扩展,刷到的道具4的ID,是,是,dimension,来源游戏，刷新获得道具4的ID,,,,,,,,,,,,
,,,,,,,,,,,,25,refresh_get5_type,扩展,刷新获得道具5的大类,是,是,dimension,来源游戏，刷新获得道具5的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,26,get_item5_id,扩展,刷到的道具5的ID,是,是,dimension,来源游戏，刷新获得道具5的ID,,,,,,,,,,,,
,,,,,,,,,,,,27,refresh_get6_type,扩展,刷新获得道具6的大类,是,是,dimension,来源游戏，刷新获得道具6的大类，1=法宝、2=格子,,,,,,,,,,,,
,,,,,,,,,,,,28,get_item6_id,扩展,刷到的道具6的ID,是,是,dimension,来源游戏，刷新获得道具6的ID,,,,,,,,,,,,
技能卡刷新日志,100402,B,skill_card_refresh,1,角色事件,"玩家在触发各种类型的技能卡刷新时记录：
1、自动刷新
2、广告刷新
3、道具刷新",客户端,,是,角色事件,,1,log_id,内置,日志id,是,是,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,是,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,是,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,是,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,是,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,cpsdk账号id,是,是,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,是,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,是,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,是,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,是,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_type,扩展,场景类型,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,是,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,skill_refresh_type,扩展,技能卡刷新类型,是,是,dimension,来源游戏，枚举值【1=自动刷新，2=道具刷新，3=广告刷新】,,,,,,,,,,,,
,,,,,,,,,,,,17,skill_card_id1,扩展,技能卡ID1,是,是,dimension,来源游戏，刷出的技能卡ID1,,,,,,,,,,,,
,,,,,,,,,,,,18,skill_card_id2,扩展,技能卡ID2,是,是,dimension,来源游戏，刷出的技能卡ID2,,,,,,,,,,,,
,,,,,,,,,,,,19,skill_card_id3,扩展,技能卡ID3,是,是,dimension,来源游戏，刷出的技能卡ID3,,,,,,,,,,,,
玩家背包持有道具日志,100403,B,backpack_item_hold,1.0 ,角色事件,在每一波开始时，记录玩家当前背包持有的道具数量,游戏客户端,局内精细化分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,cpsdk账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_type,扩展,场景类型,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,grid_total,扩展,总格子数量,是,否,int,来源游戏，记录当前总格数,,,,,,,,,,,,
,,,,,,,,,,,,17,weapon_hold,扩展,法宝持有,是,否,string,"来源游戏，记录玩家当前持有的武器信息，格式如下：法宝ID_等级_攻击_位置,, 多个用两个逗号分隔",,,,,,,,,,,,
玩家持有技能卡日志,100404,B,skill_card_hold,1.0 ,角色事件,在每一波开始时，记录玩家当前持有的技能卡数量,游戏客户端,局内精细化分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_type,扩展,关卡类型,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,card_hold,扩展,技能卡持有,是,否,string,"来源游戏，记录当前持有的技能卡，格式如下：技能卡ID,, 多个用两个逗号分隔",,,,,,,,,,,,
玩家局内法宝操作,100405,B,backpack_item_op,1.0 ,角色事件,在每一波开始时，记录玩家当前持有的技能卡数量,游戏客户端,局内精细化分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_type,扩展,关卡类型,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,op_list,扩展,法宝列表,是,否,string,来源游戏，记录玩家局内使用的法宝，多个用两个逗号分隔,,,,,,,,,,,,
局内铜币产销日志,100410,B,copper_production_sales,1.0 ,角色事件,每一波开始时记录玩家铜币的产销信息,游戏客户端,局内精细化分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,scene_type,扩展,关卡类型,是,是,dimension,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,来源游戏，记录对应事件发生时的副本进度，也就是波次,,,,,,,,,,,,
,,,,,,,,,,,,16,copper_get,扩展,获取铜币数量,是,否,int,来源游戏，在该波次获取的铜币数量,,,,,,,,,,,,
,,,,,,,,,,,,17,copper_use,扩展,使用铜币数量,是,否,int,来源游戏，在该波次使用的铜币数量,,,,,,,,,,,,
,,,,,,,,,,,,18,copper_balance,扩展,剩余铜币数量,是,否,string,来源游戏，在该波次剩余的铜币数量,,,,,,,,,,,,
养成线解锁日志,100420,B,growth_unlock,1.0 ,角色事件,养成线解锁时记录,游戏服务端,局外分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,grow_type,扩展,成长线ID,是,否,dimension,来源游戏，成长线ID,,,,,,,,,,,,
随机道具开启日志,100430,B,random_item_use,1.0 ,角色事件,玩家开启随机类道具时记录,游戏服务端,局外分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,random_item_id,扩展,开启道具的ID,是,否,dimension,来源游戏，开启随机道具的ID,,,,,,,,,,,,
,,,,,,,,,,,,13,random_item_quantity,扩展,开启的数量,是,否,int,来源游戏，开启随机道具的数量,,,,,,,,,,,,
,,,,,,,,,,,,14,produce_item_id,扩展,开出道具ID,是,否,dimension,来源游戏，开出道具的ID,,,,,,,,,,,,
,,,,,,,,,,,,15,produce_item_quantity,扩展,开出道具数量,是,否,int,来源游戏，开出道具的数量,,,,,,,,,,,,
充值货币获得,101010,A,get_money,1,角色事件,"角色获得充值货币时记录
（如果充值货币有额外赠送的，需要区分）",服务端,"产销监控/充值货币产销监控
客诉处理/客服明细查询工具
财务对账/充值货币存量及产销",是,通用,通过【{op_type}】【{op_type1}】【{op_type2}】获得货币 【{money_type}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
